species,NEIS1633,NEIS1635,pro_NEIS1635
Neisseria meningitidis,141,7,5
Neisseria meningitidis,104,28,5
Neisseria meningitidis,404,7,5
Neisseria meningitidis,68,35,5
Neisseria meningitidis,68,35,5
Neisseria meningitidis,,,
Neisseria meningitidis,24,41,5
Neisseria meningitidis,211,1,5
Neisseria meningitidis,2039,7,5
Neisseria meningitidis,400,7,5
Neisseria meningitidis,68,35,5
Neisseria meningitidis,2040,9,5
Neisseria meningitidis,97,8,5
Neisseria meningitidis,2310,1903,4
Neisseria meningitidis,93,10,7
Neisseria meningitidis,39,7,5
Neisseria meningitidis,68,35,5
Neisseria meningitidis,68,35,5
Neisseria meningitidis,137,7,7
Neisseria meningitidis,49,9,5
Neisseria meningitidis,49,2,5
Neisseria meningitidis,1389,7,5
Neisseria meningitidis,340,2,5
Neisseria meningitidis,1059,4,7
Neisseria meningitidis,65,8,5
Neisseria meningitidis,2041,11,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,687,21,5
Neisseria meningitidis,688,382,5
Neisseria meningitidis,687,21,
Neisseria meningitidis,689,7,5
Neisseria meningitidis,611,7,5
Neisseria meningitidis,690,289,5
Neisseria meningitidis,690,289,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,2,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,2,2,5
Neisseria meningitidis,691,7,
Neisseria meningitidis,474,7,5
Neisseria meningitidis,28,2,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,198,7,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,220,10,7
Neisseria meningitidis,2,2,5
Neisseria meningitidis,220,10,7
Neisseria meningitidis,2,2,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,692,7,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,2,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,67,7,5
Neisseria meningitidis,474,7,5
Neisseria meningitidis,120,11,5
