id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
140591,21MUS_AH125_S89,Gauteng Province,2021,1399,8,166,,117
140592,21MUS_AH166_S117,Gauteng Province,2021,333,13,285,,3
140593,21MUS_AH237_S90,Gauteng Province,2021,621,8,23,,3
140594,21MUS_AH239_S118,Gauteng Province,2021,,8,23,,0
140595,21MUS_CZ189_S91,KwaZulu Natal,2021,619,8,294,,
140596,21MUS_CZ191_S119,KwaZulu Natal,2021,251,8,228,,3
140597,21MUS_CZ197_S120,KwaZulu Natal,2021,,8,166,699,0
140598,21MUS_CZ198_S92,KwaZulu Natal,2021,619,8,294,,0
140599,21MUS_CZ201_S121,KwaZulu Natal,2021,22,8,23,,3
140600,22MUS_AH054_S93,Gauteng Province,2022,2759,8,294,699,3
140601,17MUS_AH098,Gauteng Province,2017,,8,166,763,0
140602,17MUS_AH118,Gauteng Province,2017,621,13,23,,2
140603,17MUS_AH120,Gauteng Province,2017,618,13,294,,0
140604,17MUS_KH085,Western Cape,2017,317,8,166,,0
140605,17MUS_ZW084,Eastern Cape,2017,,8,23,6289,0
140611,19MUS_AH072,Gauteng Province,2019,317,8,166,,0
140612,19MUS_AH119,Gauteng Province,2019,317,8,166,,0
140613,19MUS_AH164,Gauteng Province,2019,1399,8,294,763,0
140617,20MUS_AH139,Gauteng Province,2020,,8,23,,3
140618,21MUS_AH165,Gauteng Province,2021,,8,294,699,3
140619,21MUS_CZ202,KwaZulu Natal,2021,623,8,23,,0
154263,LLL001,,2013,618,13,294,9936,2
154264,LLL002,,2013,621,13,23,9937,0
154265,LLL003,,2013,621,13,23,4325,0
154266,LLL004,,2013,,8,515,9938,0
154267,LLL005,,2013,621,13,23,9939,2
154268,LLL006,,2013,2759,8,294,4326,0
154269,LLL007,,2013,2759,8,294,763,0
154270,LLL008,,2013,2759,8,294,2480,
154271,LLL009,,2013,621,13,294,9940,2
154272,LLL010,,2013,,8,23,6289,0
154273,LLL011,,2013,619,8,294,9941,0
154274,LLL012,,2013,619,8,294,5355,3
154275,LLL013,,2013,,8,294,9942,0
154276,LLL014,,2013,2759,8,294,8445,0
154277,LLL015,,2013,19,8,294,9943,0
154278,LLL016,,2013,,13,23,9944,0
154279,LLL017,,2013,251,,23,9945,0
154280,LLL018,,2013,2759,8,294,8766,0
154281,LLL019,,2013,619,8,294,9946,3
154282,LLL020,,2013,184,13,166,9947,0
154283,LLL022,,2013,19,8,515,9948,0
154284,LLL023,,2013,621,13,23,4325,0
154285,LLL024,,2013,251,13,228,9949,3
154286,LLL026,,2014,621,13,294,9950,2
154287,LLL027,,2014,621,13,23,9948,2
154288,LLL028,,2014,619,8,3123,9951,0
154289,LLL029,,2014,,8,294,9952,3
154290,LLL030,,2014,2759,13,23,9953,3
154291,LLL031,,2014,251,13,294,699,3
154292,LLL032,,2014,333,13,285,763,3
154293,LLL034,,2014,251,13,228,9954,3
154294,LLL035,,2014,333,13,285,826,
154295,LLL037,,2014,,13,23,4325,2
154296,LLL038,,2014,,13,228,3131,0
154297,LLL039,,2014,621,13,23,9955,0
154298,LLL040,,2014,251,13,228,9956,3
154299,LLL041,,2014,251,13,228,6298,3
154300,LLL042,,2014,251,13,228,9957,3
154301,LLL043,,2014,251,13,228,9958,3
154302,LLL044,,2014,1399,8,515,9959,0
154303,LLL045,,2014,618,13,294,763,0
154304,LLL046,,2014,623,8,515,9960,3
154305,LLL048,,2014,251,13,294,878,10
154306,LLL049,,2014,621,13,23,9961,2
154307,LLL050,,2014,,8,294,9962,0
154308,MMM001,,2014,,13,294,878,2
154309,MMM002,,2014,251,13,228,9963,3
154310,MMM003,,2014,4465,13,228,9964,0
154311,MMM004,,2014,2759,8,294,9965,
154312,MMM005,,2014,623,8,515,9966,3
154313,MMM006,,2014,251,8,228,9967,3
154314,MMM007,,2014,2759,8,294,763,
154315,MMM008,,2014,251,8,228,9968,3
155409,GP12-MUS-242,Gauteng,2012,,8,294,763,
155410,GP13-MUS-070,Gauteng,2013,251,13,228,,3
155411,GP13-MUS-083,Gauteng,2013,,8,228,1109,80
155412,GP13-MUS-096,Gauteng,2013,,8,23,,2
155413,GP13-MUS-099,Gauteng,2013,621,13,228,,3
155414,GP13-MUS-103,Gauteng,2013,19,8,287,912,0
155415,GP13-MUS-105,Gauteng,2013,,8,515,,3
155416,GP13-MUS-107,Gauteng,2013,,8,23,,0
155417,GP13-MUS-109,Gauteng,2013,621,13,23,,2
155418,GP13-MUS-116,Gauteng,2013,2759,8,294,,3
155419,GP13-MUS-120,Gauteng,2013,621,13,23,,3
