id,isolate,country,year,private_record,private_owner
123338,7064,South Africa,2022,false,
123339,5051,South Africa,2022,false,
123340,3146,South Africa,2022,false,
123341,8081,South Africa,2022,false,
123342,1030,South Africa,2022,false,
123343,3159,South Africa,2022,false,
123344,3123,South Africa,2022,false,
123345,1075,South Africa,2022,false,
123346,8050,South Africa,2022,false,
123347,3031,South Africa,2022,false,
125903,MDG-NG10,Madagascar,2020,false,
125904,MDG-NG11,Madagascar,2015,false,
125905,MDG-NG12,Madagascar,2019,false,
125906,MDG-NG13,Madagascar,2020,false,
125907,MDG-NG14,Madagascar,2020,false,
125908,MDG-NG15,Madagascar,2020,false,
125909,MDG-NG16,Madagascar,2016,false,
125910,MDG-NG17,Madagascar,2020,false,
125911,MDG-NG18,Madagascar,2020,false,
125912,MDG-NG19,Madagascar,2014,false,
125913,MDG-NG1,Madagascar,2020,false,
125914,MDG-NG20,Madagascar,2020,false,
125915,MDG-NG21,Madagascar,2014,false,
125916,MDG-NG22,Madagascar,2020,false,
125917,MDG-NG23,Madagascar,2014,false,
125918,MDG-NG24,Madagascar,2020,false,
125919,MDG-NG25,Madagascar,2020,false,
125920,MDG-NG26,Madagascar,2020,false,
125921,MDG-NG27,Madagascar,2020,false,
125922,MDG-NG28,Madagascar,2017,false,
125923,MDG-NG29,Madagascar,2019,false,
125924,MDG-NG2,Madagascar,2020,false,
125925,MDG-NG30,Madagascar,2020,false,
125926,MDG-NG31,Madagascar,2020,false,
125927,MDG-NG32,Madagascar,2020,false,
125928,MDG-NG33,Madagascar,2020,false,
125929,MDG-NG34,Madagascar,2020,false,
125930,MDG-NG35,Madagascar,2020,false,
125931,MDG-NG36,Madagascar,2020,false,
125932,MDG-NG37,Madagascar,2020,false,
125933,MDG-NG38,Madagascar,2017,false,
125934,MDG-NG39,Madagascar,2020,false,
125935,MDG-NG3,Madagascar,2019,false,
125936,MDG-NG40,Madagascar,2020,false,
125937,MDG-NG41,Madagascar,2020,false,
125938,MDG-NG42,Madagascar,2020,false,
125939,MDG-NG43,Madagascar,2019,false,
125940,MDG-NG44,Madagascar,2020,false,
125941,MDG-NG45,Madagascar,2020,false,
125942,MDG-NG46,Madagascar,2020,false,
125943,MDG-NG47,Madagascar,2016,false,
125945,MDG-NG4,Madagascar,2020,false,
125947,MDG-NG5,Madagascar,2020,false,
125948,MDG-NG6,Madagascar,2020,false,
125950,MDG-NG8,Madagascar,2016,false,
125951,MDG-NG9,Madagascar,2020,false,
126241,7135,South Africa,2022,false,
126242,8099,South Africa,2022,false,
126243,3096,South Africa,2022,false,
126244,8076,South Africa,2022,false,
126245,8060,South Africa,2022,false,
126246,3140,South Africa,2022,false,
126247,3166,South Africa,2022,false,
126248,3085,South Africa,2022,false,
126249,1071,South Africa,2022,false,
126250,3118,South Africa,2022,false,
126251,8023,South Africa,2022,false,
126252,8039,South Africa,2022,false,
126253,1040,South Africa,2022,false,
126254,3062,South Africa,2022,false,
126255,8030,South Africa,2022,false,
126256,3095,South Africa,2022,false,
126257,1037,South Africa,2022,false,
126258,7152,South Africa,2022,false,
126259,5068,South Africa,2022,false,
126260,8102,South Africa,2022,false,
126261,7072,South Africa,2022,false,
126262,5059,South Africa,2022,false,
126263,5029,South Africa,2022,false,
126264,1065,South Africa,2022,false,
126265,8098,South Africa,2022,false,
126266,1060,South Africa,2022,false,
126267,1053,South Africa,2022,false,
126268,8011,South Africa,2022,false,
126269,3075,South Africa,2022,false,
126270,7154,South Africa,2022,false,
126271,3158,South Africa,2022,false,
126272,3121,South Africa,2022,false,
126273,3163,South Africa,2022,false,
126274,8078,South Africa,2022,false,
126275,5060,South Africa,2022,false,
126929,3115,South Africa,2022,false,
126930,5043,South Africa,2022,false,
126931,5018,South Africa,2022,false,
126932,7079,South Africa,2022,false,
126933,3044,South Africa,2022,false,
126934,7039,South Africa,2022,false,
126935,5037,South Africa,2022,false,
126936,3076,South Africa,2022,false,
126937,7070,South Africa,2022,false,
126938,1074,South Africa,2022,false,
126939,7129,South Africa,2022,false,
126940,1087,South Africa,2022,false,
126941,3108,South Africa,2022,false,
126942,1109,South Africa,2022,false,
126943,5034,South Africa,2022,false,
126944,7052,South Africa,2022,false,
126945,1105,South Africa,2022,false,
126946,5006,South Africa,2022,false,
126947,7113,South Africa,2022,false,
126948,8089,South Africa,2022,false,
126949,5025,South Africa,2022,false,
131095,GP-12-MUS-048,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131096,GP-12-MUS-049,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131097,GP-12-MUS-052,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131098,GP-12-MUS-069,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131099,GP-12-MUS-071,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131100,GP-12-MUS-086,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131101,GP-12-MUS-088,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131102,GP-12-MUS-092,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131103,GP-12-MUS-093,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131104,GP-12-MUS-096,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131105,GP-12-MUS-099,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131106,GP-12-MUS-102,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131107,GP-12-MUS-107,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131108,GP-12-MUS-109,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131109,GP-12-MUS-110,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131110,GP-12-MUS-115,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131111,GP-12-MUS-116,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131112,GP-12-MUS-117,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131113,GP-12-MUS-124,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131114,GP-12-MUS-137,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131115,GP-12-MUS-163,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131116,GP-12-MUS-166,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131117,GP-12-MUS-170,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131118,GP-12-MUS-180,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131119,GP-12-MUS-190,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131120,GP-12-MUS-199,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131121,GP-12-MUS-205,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131122,GP-12-MUS-208,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131123,GP-12-MUS-211,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131124,GP-12-MUS-214,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131125,GP-12-MUS-220,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131126,GP-12-MUS-242,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131127,GP-12-MUS-250,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131128,GP-12-MUS-251,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131129,GP-12-MUS-252,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131130,GP-12-MUS-264,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131131,GP-12-MUS-273,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131132,GP-12-MUS-276,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131133,GP-12-MUS-283,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131134,GP-12-MUS-289,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131135,GP-12-MUS-291,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131136,GP-12-MUS-297,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131137,GP-12-MUS-303,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131138,GP-12-MUS-307,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131139,GP-12-MUS-311,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131140,GP-12-MUS-312,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131141,GP-12-MUS-317,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131142,GP-12-MUS-319,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131143,GP-12-MUS-324,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131144,GP-12-MUS-325,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131145,GP-12-MUS-331,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131146,GP-12-MUS-333,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131147,GP-12-MUS-337,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131148,GP-12-MUS-339,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131149,GP-12-MUS-356,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131150,GP-12-MUS-358,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131151,GP-12-MUS-361,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131152,GP-12-MUS-363,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131153,GP-12-MUS-368,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131154,GP-12-MUS-371,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131155,GP-13-MUS-001,South Africa,2013,true,"Anastasia Unitt, University of Oxford"
131156,GP-13-MUS-015,South Africa,2013,true,"Anastasia Unitt, University of Oxford"
131157,GP-13-MUS-032,South Africa,2013,true,"Anastasia Unitt, University of Oxford"
