id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
27097,S511,UK [England],1997,,457,102,167,100,12,6,false,
27098,NS028,UK [England],1999,,457,102,167,100,12,6,false,
27099,ERR029268,Unknown,,,457,119,167,204,12,6,false,
27100,S346,UK [England],1997,,457,102,167,100,12,6,false,
27101,ERR049036,Unknown,,,458,102,167,100,12,6,false,
27102,S465,UK [England],1997,,457,102,167,100,12,6,false,
27103,S366,UK [England],1997,,457,102,167,100,12,6,false,
27104,S526,UK [England],1997,,457,102,167,100,12,6,false,
27105,S330,UK [England],1997,,457,102,167,100,12,6,false,
27106,S343,UK [England],1997,,457,102,167,100,12,6,false,
27107,ERR049034,Unknown,,,458,102,167,100,12,6,false,
27108,S203,UK [England],1996,,457,102,167,100,12,6,false,
27109,S491,UK [England],1997,,457,102,167,100,12,6,false,
27110,S493,UK [England],1997,,457,102,167,100,12,6,false,
27111,S329,UK [England],1997,,457,102,167,100,12,6,false,
27112,S358,UK [England],1997,,457,102,167,100,12,6,false,
27113,S449,UK [England],1997,,457,102,167,100,12,6,false,
27114,S105,UK [England],1995,,457,102,167,100,12,6,false,
27115,S361,UK [England],1997,,457,102,167,100,12,6,false,
27116,S319,UK [England],1997,,457,102,167,100,12,6,false,
27117,S453,UK [England],1997,,457,102,167,100,12,6,false,
27118,S158,UK [England],1996,,457,102,167,100,12,6,false,
27119,S276,UK [England],1996,,457,102,167,100,12,6,false,
27120,NS008,UK [England],1999,,457,102,167,100,12,6,false,
27121,S206,UK [England],1996,,457,102,167,100,12,6,false,
27122,S092,UK [England],1995,,457,102,167,100,12,6,false,
27123,NS031,UK [England],1999,,457,102,167,100,12,6,false,
27124,S283,UK [England],1996,,457,102,167,100,12,6,false,
27125,S280,UK [England],1996,,,102,167,100,12,6,false,
27126,S292,UK [England],1996,,457,102,167,100,12,6,false,
27127,NS056,UK [England],1999,,457,102,167,100,12,6,false,
27128,S096,UK [England],1995,,457,102,167,100,12,6,false,
